Department,SourceOfFund,DateRequested,DateNeeded,DateApproved,ApprovalLagDays,TransactionType,ModeOfPayment,TermsOfPayment,PR,PO,RR,TaxRegistration,TypeOfBusiness,Currency,Amount,ServiceFee,Less:EWT,NetTotalAmount,StudentsEnrolled,ProgramCount,AccreditationAudit,GovtFundingChange,TuitionPolicy
CEA,Special Fund,2022-01-03,2022-01-12,2022-01-11,8,Purchase Order,Fund Transfer,Net 15,PR-2022-3324,PO-2022-6595,RR-2022-6984,VAT,Services,PHP,65819.18,138.23,1316.38,64364.57,5024,8,0,1.04,Freeze
CHS,Project Fund,2025-09-13,2025-09-21,2025-09-20,7,Payment Only,Fund Transfer,Net 45,PR-2025-4927,,RR-2025-5231,VAT,Services,PHP,29864.74,89.4,597.29,29178.05,2902,5,0,0.97,Freeze
CEA,Project Fund,2024-01-28,2024-03-01,2024-01-31,3,Payment Only,Fund Transfer,Net 7,PR-2024-7690,,,VAT,Services,PHP,18383.12,61.27,367.66,17954.19,5149,8,0,1.01,Increase
QAEO,General Fund,2024-06-12,2024-07-07,2024-06-18,6,Payment Only,Cheque,Net 15,PR-2024-6838,,,VAT,Services,PHP,7543.72,25.66,150.87,7367.19,414,0,0,1.05,Freeze
CEA,Special Fund,2025-05-08,2025-06-21,2025-05-13,5,Payment Only,Fund Transfer,Net 15,PR-2025-9559,,RR-2025-5849,VAT,Services,PHP,31312.21,98.26,626.24,30587.71,5112,8,1,0.99,Increase
RO,Special Fund,2024-02-21,2024-03-19,2024-03-13,21,Purchase Order,Fund Transfer,Net 30,PR-2024-2459,PO-2024-2942,,VAT,Honorarium 5%,PHP,28687.52,76.93,1434.38,27176.21,507,0,0,0.92,Freeze
QAEO,Special Fund,2022-06-13,2022-07-12,2022-07-11,28,Purchase Order,Cheque,Net 30,PR-2022-9172,PO-2022-4904,RR-2022-4796,VAT,Goods,PHP,13127.4,33.61,131.27,12962.52,448,0,0,1.02,Increase
OAVP,Others,2021-06-03,2021-06-15,2021-06-11,8,Purchase Order,Cheque,Net 15,PR-2021-6278,PO-2021-7408,RR-2021-5250,VAT,Goods,PHP,8378.27,36.31,83.78,8258.18,176,0,0,1.07,Decrease
CHS,Project Fund,2023-04-21,2023-05-30,2023-04-28,7,Payment Only,Cash,Net 30,PR-2023-6644,,RR-2023-6088,VAT,Honorarium 5%,PHP,30655.07,0.0,1532.75,29122.32,2731,5,0,1.09,Increase
CCIS,General Fund,2022-02-03,2022-03-18,2022-02-16,13,Purchase Order,Fund Transfer,Net 15,PR-2022-8913,PO-2022-6524,RR-2022-9539,VAT,Honorarium 10%,PHP,25853.47,97.32,2585.35,23170.8,3024,3,0,1.09,Increase
CHS,General Fund,2023-02-13,2023-03-24,2023-02-22,9,Purchase Order,Cheque,Net 30,PR-2023-8778,PO-2023-2059,RR-2023-1219,VAT,Services,PHP,69748.93,24.2,1394.98,68329.75,2708,5,0,0.95,Increase
CGC,General Fund,2025-05-11,2025-06-10,2025-06-09,29,Purchase Order,Cheque,Net 30,PR-2025-2520,PO-2025-8892,RR-2025-8988,VAT,Goods,PHP,11276.28,14.88,112.76,11148.64,791,0,0,1.09,Freeze
ACO,General Fund,2022-08-08,2022-09-16,2022-08-19,11,Payment Only,Cheque,Net 45,PR-2022-3525,,RR-2022-5748,VAT,Goods,PHP,7407.52,24.57,74.08,7308.87,575,0,0,0.97,Freeze
BDCCO,General Fund,2021-07-12,2021-08-12,2021-07-27,15,Purchase Order,Fund Transfer,Net 30,PR-2021-8511,PO-2021-6465,RR-2021-5382,VAT,Services,PHP,14972.04,70.85,299.44,14601.75,735,0,0,1.01,Freeze
OAVP,Project Fund,2022-10-20,2022-11-09,2022-11-08,19,Purchase Order,Cheque,Net 30,PR-2022-6755,PO-2022-6012,RR-2022-7752,VAT,Goods,PHP,9732.79,30.08,97.33,9605.38,168,0,0,1.0,Freeze
HS,General Fund,2025-06-03,2025-07-14,2025-06-13,10,Purchase Order,Cash,Net 30,PR-2025-9159,PO-2025-8926,,Non-VAT,Services,PHP,11728.23,0.0,234.56,11493.67,358,0,0,1.06,Freeze
CCIS,Special Fund,2022-05-12,2022-06-21,2022-05-21,9,Purchase Order,Fund Transfer,Net 30,PR-2022-4793,PO-2022-2659,RR-2022-7446,VAT,Goods,PHP,39662.77,146.22,396.63,39119.92,3007,3,0,1.06,Freeze
OVPAA,Project Fund,2024-03-20,2024-03-30,2024-03-20,0,Payment Only,Fund Transfer,Immediate,PR-2024-8933,,,VAT,Services,PHP,28740.86,55.83,574.82,28110.21,275,0,0,1.07,Freeze
ATYCB,General Fund,2021-01-05,2021-01-15,2021-01-13,8,Purchase Order,Fund Transfer,Net 15,PR-2021-2935,PO-2021-9825,,Non-VAT,Goods,PHP,15001.75,58.22,150.02,14793.51,1079,6,0,0.97,Freeze
CGC,General Fund,2022-10-27,2022-11-09,2022-11-08,12,Payment Only,Fund Transfer,Net 45,PR-2022-4052,,RR-2022-1932,Non-VAT,Honorarium 10%,PHP,3070.62,61.84,307.06,2701.72,725,0,0,0.9,Freeze
CCIS,General Fund,2022-07-08,2022-07-17,2022-07-16,8,Purchase Order,Fund Transfer,Net 30,PR-2022-8248,PO-2022-4445,RR-2022-9986,VAT,Services,PHP,32501.7,109.95,650.03,31741.72,3014,3,0,0.95,Increase
CAS,General Fund,2021-11-23,2021-12-04,2021-12-03,10,Payment Only,Cheque,Net 45,PR-2021-3303,,,VAT,Goods,PHP,35272.24,8.33,352.72,34911.19,4123,2,0,0.96,Freeze
CAS,General Fund,2023-09-17,2023-09-27,2023-09-26,9,Payment Only,Cheque,Net 30,PR-2023-2561,,RR-2023-8596,VAT,Services,PHP,18309.87,6.08,366.2,17937.59,3927,2,0,1.06,Freeze
HS,Paid Fund,2023-05-05,2023-05-20,2023-05-12,7,Payment Only,Fund Transfer,Net 30,PR-2023-1011,,,VAT,Honorarium 5%,PHP,20803.81,91.56,1040.19,19672.06,311,0,0,0.91,Increase
1900 STORE,General Fund,2024-06-06,2024-06-27,2024-06-16,10,Purchase Order,Fund Transfer,Net 15,PR-2024-7611,PO-2024-7856,,VAT,Honorarium 10%,PHP,10037.28,19.3,1003.73,9014.25,766,0,0,1.03,Increase
ATYCB,General Fund,2022-05-09,2022-06-03,2022-05-20,11,Purchase Order,Fund Transfer,Net 30,PR-2022-3952,PO-2022-3126,RR-2022-4861,VAT,Services,PHP,35274.92,16.52,705.5,34552.9,948,6,0,0.97,Freeze
CLIR,General Fund,2022-03-02,2022-03-16,2022-03-12,10,Purchase Order,Fund Transfer,Net 30,PR-2022-4123,PO-2022-6164,RR-2022-5907,Non-VAT,Goods,PHP,24773.86,11.38,247.74,24514.74,433,0,0,0.96,Freeze
ACO,Project Fund,2021-11-15,2021-12-21,2021-11-21,6,Payment Only,Fund Transfer,Net 15,PR-2021-7060,,RR-2021-4976,Non-VAT,Services,PHP,6735.02,76.35,134.7,6523.97,601,0,0,1.08,Freeze
CCIS,Project Fund,2022-02-02,2022-03-11,2022-02-09,7,Payment Only,Cash,Net 30,PR-2022-1831,,,Non-VAT,Goods,PHP,45585.76,0.0,455.86,45129.9,3001,3,0,0.96,Increase
ATYCB,Others,2023-11-16,2023-12-12,2023-12-02,16,Payment Only,Cash,Net 30,PR-2023-6828,,RR-2023-3291,VAT,Services,PHP,19838.7,0.0,396.77,19441.93,976,6,0,1.04,Decrease
CSCE,General Fund,2023-01-09,2023-02-20,2023-01-21,12,Payment Only,Cash,Net 15,PR-2023-4182,,,Non-VAT,Goods,PHP,17414.05,0.0,174.14,17239.91,474,0,0,1.01,Freeze
LMO,Special Fund,2021-04-26,2021-05-28,2021-05-03,7,Payment Only,Fund Transfer,Net 30,PR-2021-4667,,RR-2021-3822,VAT,Services,PHP,11198.77,74.65,223.98,10900.14,642,0,0,1.08,Increase
CAS,Paid Fund,2022-04-07,2022-04-20,2022-04-11,4,Purchase Order,Fund Transfer,Net 7,PR-2022-8157,PO-2022-2851,RR-2022-6825,Non-VAT,Goods,PHP,59248.63,53.2,592.49,58602.94,4066,2,1,1.08,Increase
OCP,Paid Fund,2022-03-12,2022-04-19,2022-03-14,2,Payment Only,Fund Transfer,Net 7,PR-2022-6281,,,VAT,Goods,USD,17158.62,97.7,171.59,16889.33,277,0,0,0.92,Freeze
NSTP,General Fund,2024-06-27,2024-08-10,2024-07-04,7,Payment Only,Cheque,Net 15,PR-2024-4145,,RR-2024-3263,Non-VAT,Services,PHP,10712.69,4.74,214.25,10493.7,498,0,0,0.93,Increase
ICELL,Special Fund,2024-07-01,2024-08-09,2024-08-02,32,Purchase Order,Cash,Net 30,PR-2024-6648,PO-2024-3060,RR-2024-3387,VAT,Goods,PHP,15208.14,0.0,152.08,15056.06,764,0,0,0.95,Freeze
ITO,General Fund,2021-09-08,2021-10-03,2021-09-27,19,Payment Only,Cheque,Net 30,PR-2021-1793,,RR-2021-6869,VAT,Services,PHP,6239.38,37.62,124.79,6076.97,355,0,0,0.97,Increase
OAVP,General Fund,2025-12-08,2026-01-04,2025-12-16,8,Payment Only,Cheque,Net 30,PR-2025-1804,,RR-2025-9802,VAT,Services,PHP,34393.44,23.62,687.87,33681.95,255,0,0,0.95,Increase
DOST,Project Fund,2022-04-16,2022-05-12,2022-04-25,9,Purchase Order,Cash,Net 30,PR-2022-2596,PO-2022-9767,,Non-VAT,Services,PHP,20484.38,0.0,409.69,20074.69,259,0,0,1.03,Freeze
ORDI,General Fund,2025-11-26,2025-12-07,2025-11-28,2,Purchase Order,Cash,Immediate,PR-2025-6541,PO-2025-1834,RR-2025-7026,Non-VAT,Honorarium 10%,PHP,5237.95,0.0,523.8,4714.15,655,0,0,0.92,Increase
ATYCB,Special Fund,2023-02-22,2023-03-11,2023-03-10,16,Purchase Order,Fund Transfer,Net 30,PR-2023-2140,PO-2023-3562,,VAT,Goods,PHP,59239.23,58.02,592.39,58588.82,930,6,0,1.06,Freeze
ORDI,General Fund,2021-02-07,2021-02-27,2021-02-19,12,Payment Only,Cheque,Net 15,PR-2021-4358,,RR-2021-6645,Non-VAT,Services,PHP,20544.21,48.96,410.88,20084.37,646,0,0,0.92,Freeze
HS,Special Fund,2022-09-11,2022-09-22,2022-09-21,10,Purchase Order,Cash,Net 30,PR-2022-9401,PO-2022-1498,RR-2022-8245,Non-VAT,Goods,PHP,9146.43,0.0,91.46,9054.97,335,0,0,0.97,Freeze
CCIS,Others,2024-03-16,2024-04-08,2024-03-18,2,Payment Only,Fund Transfer,Net 7,PR-2024-5389,,RR-2024-7114,Non-VAT,Goods,USD,45955.12,87.82,459.55,45407.75,3139,3,0,1.05,Increase
EVP or COO,Special Fund,2024-05-01,2024-05-09,2024-05-08,7,Purchase Order,Cheque,Net 30,PR-2024-6190,PO-2024-6432,,Non-VAT,Services,PHP,12859.46,6.6,257.19,12595.67,410,0,0,1.02,Increase
OSS,Special Fund,2023-08-20,2023-08-30,2023-08-29,9,Purchase Order,Fund Transfer,Net 15,PR-2023-8282,PO-2023-4307,RR-2023-5294,Non-VAT,Goods,PHP,9619.81,134.62,96.2,9388.99,372,0,0,1.03,Freeze
ORDI,Special Fund,2023-03-02,2023-04-07,2023-03-08,6,Purchase Order,Fund Transfer,Net 15,PR-2023-3471,PO-2023-7175,,VAT,Honorarium 5%,PHP,13045.43,14.48,652.27,12378.68,637,0,0,1.08,Freeze
CGC,General Fund,2023-10-10,2023-11-21,2023-10-14,4,Payment Only,Fund Transfer,Net 15,PR-2023-9283,,RR-2023-9027,VAT,Goods,PHP,12068.92,41.28,120.69,11906.95,720,0,0,0.98,Increase
ATYCB,Project Fund,2024-01-14,2024-02-23,2024-01-20,6,Purchase Order,Fund Transfer,Net 15,PR-2024-5425,PO-2024-9661,RR-2024-1533,VAT,Honorarium 5%,PHP,45881.33,102.05,2294.07,43485.21,882,6,0,0.95,Increase
1900 STORE,Paid Fund,2021-05-26,2021-07-07,2021-06-17,22,Payment Only,Fund Transfer,Net 30,PR-2021-1782,,RR-2021-6855,Non-VAT,Goods,PHP,20060.42,96.05,200.6,19763.77,786,0,0,1.09,Increase
OVPAA,Paid Fund,2022-11-19,2022-12-01,2022-11-30,11,Payment Only,Fund Transfer,Net 30,PR-2022-2683,,RR-2022-7321,VAT,Services,PHP,10273.88,149.11,205.48,9919.29,293,0,0,0.99,Decrease
CORPCOMM,Project Fund,2022-03-20,2022-04-24,2022-03-29,9,Purchase Order,Cash,Net 30,PR-2022-5288,PO-2022-7734,RR-2022-1197,VAT,Honorarium 5%,PHP,38171.74,0.0,1908.59,36263.15,260,0,0,0.9,Freeze
ACO,General Fund,2025-01-07,2025-02-01,2025-01-31,24,Payment Only,Fund Transfer,Net 45,PR-2025-6308,,,VAT,Goods,PHP,18837.48,107.39,188.37,18541.72,632,0,0,0.99,Freeze
CAS,Project Fund,2023-05-05,2023-05-12,2023-05-11,6,Purchase Order,Fund Transfer,Net 30,PR-2023-7055,PO-2023-1004,RR-2023-2168,VAT,Honorarium 5%,PHP,27951.37,69.12,1397.57,26484.68,3949,2,0,0.95,Freeze
CCIS,General Fund,2025-12-22,2026-01-12,2026-01-03,12,Purchase Order,Cheque,Net 15,PR-2025-7670,PO-2025-3451,RR-2025-9530,VAT,Services,PHP,44242.45,2.28,884.85,43355.32,3170,3,0,0.94,Freeze
CEA,General Fund,2023-01-03,2023-01-22,2023-01-18,15,Purchase Order,Fund Transfer,Net 15,PR-2023-8883,PO-2023-4324,RR-2023-5750,VAT,Rental,PHP,44440.42,113.83,2222.02,42104.57,5064,8,0,1.01,Decrease
CAS,General Fund,2025-02-14,2025-02-28,2025-02-16,2,Purchase Order,Cash,Immediate,PR-2025-9138,PO-2025-5482,RR-2025-6489,VAT,Goods,USD,43545.67,0.0,435.46,43110.21,3719,2,0,0.99,Decrease
CCIS,General Fund,2025-01-03,2025-01-14,2025-01-13,10,Purchase Order,Cash,Net 15,PR-2025-4604,PO-2025-2083,RR-2025-2099,Non-VAT,Honorarium 5%,PHP,47945.98,0.0,2397.3,45548.68,3219,3,0,0.98,Decrease
ATYCB,Project Fund,2021-10-11,2021-10-20,2021-10-18,7,Payment Only,Fund Transfer,Net 15,PR-2021-3175,,RR-2021-9737,VAT,Services,PHP,20703.43,26.3,414.07,20263.06,1027,6,0,0.9,Increase
CEA,General Fund,2023-07-09,2023-08-05,2023-07-11,2,Payment Only,Fund Transfer,Net 7,PR-2023-9359,,RR-2023-2982,VAT,Goods,PHP,41046.85,136.31,410.47,40500.07,5078,8,0,0.94,Freeze
ICELL,Special Fund,2024-06-26,2024-07-17,2024-07-05,9,Purchase Order,Cheque,Net 30,PR-2024-2438,PO-2024-4016,RR-2024-9166,VAT,Goods,PHP,11986.1,16.27,119.86,11849.97,757,0,0,1.03,Decrease
CAS,Project Fund,2025-04-15,2025-05-21,2025-04-22,7,Payment Only,Fund Transfer,Net 30,PR-2025-2284,,RR-2025-5782,VAT,Goods,PHP,48711.68,113.53,487.12,48111.03,3640,2,1,0.98,Increase
LMO,Project Fund,2022-08-22,2022-09-15,2022-08-28,6,Payment Only,Fund Transfer,Net 7,PR-2022-1662,,RR-2022-7256,VAT,Goods,PHP,17251.57,16.16,172.52,17062.89,562,0,0,0.91,Freeze
CHS,General Fund,2022-02-03,2022-02-26,2022-02-12,9,Purchase Order,Fund Transfer,Net 30,PR-2022-6660,PO-2022-7074,RR-2022-5402,VAT,Goods,PHP,27738.7,102.06,277.39,27359.25,2704,5,0,1.01,Increase
QAEO,Paid Fund,2024-07-06,2024-07-15,2024-07-13,7,Payment Only,Cheque,Net 30,PR-2024-6834,,,VAT,Goods,USD,8608.29,29.78,86.08,8492.43,480,0,0,1.08,Freeze
OCP,General Fund,2025-01-21,2025-01-28,2025-01-21,0,Payment Only,Fund Transfer,Immediate,PR-2025-4613,,RR-2025-4084,Non-VAT,Services,PHP,16348.77,39.13,326.98,15982.66,202,0,0,1.01,Freeze
CCIS,General Fund,2022-10-23,2022-11-25,2022-11-07,15,Purchase Order,Fund Transfer,Net 30,PR-2022-5145,PO-2022-7707,,Non-VAT,Goods,PHP,30958.49,142.62,309.58,30506.29,2988,3,0,1.0,Freeze
CEA,General Fund,2021-06-18,2021-07-17,2021-07-02,14,Purchase Order,Cash,Net 15,PR-2021-9792,PO-2021-3025,,VAT,Goods,PHP,32024.84,0.0,320.25,31704.59,4984,8,0,1.04,Freeze
CAS,General Fund,2025-09-08,2025-10-15,2025-09-26,18,Purchase Order,Cheque,Net 30,PR-2025-9222,PO-2025-8996,RR-2025-6480,Non-VAT,Services,PHP,47379.64,43.03,947.59,46389.02,3720,2,0,0.99,Freeze
CHS,General Fund,2023-01-14,2023-02-03,2023-01-21,7,Payment Only,Cheque,Net 30,PR-2023-2178,,,Non-VAT,Goods,PHP,33696.79,42.96,336.97,33316.86,2696,5,0,0.93,Freeze
ATYCB,General Fund,2023-08-12,2023-08-29,2023-08-15,3,Payment Only,Cash,Net 7,PR-2023-1443,,RR-2023-1926,VAT,Honorarium 5%,PHP,51856.59,0.0,2592.83,49263.76,956,6,0,1.02,Increase
CAS,Project Fund,2025-03-18,2025-03-28,2025-03-27,9,Purchase Order,Cheque,Net 30,PR-2025-7192,PO-2025-2677,,VAT,Honorarium 10%,PHP,39407.17,21.65,3940.72,35444.8,3651,2,0,1.07,Freeze
MARCOMM,General Fund,2024-05-27,2024-06-19,2024-06-10,14,Purchase Order,Fund Transfer,Net 15,PR-2024-4069,PO-2024-1149,RR-2024-6334,VAT,Services,PHP,7613.41,148.68,152.27,7312.46,598,0,0,1.05,Freeze
CCIS,Project Fund,2024-09-13,2024-09-27,2024-09-23,10,Purchase Order,Cash,Net 30,PR-2024-4607,PO-2024-1400,RR-2024-7042,VAT,Services,PHP,21749.51,0.0,434.99,21314.52,3102,3,0,1.02,Freeze
ICELL,General Fund,2022-01-12,2022-02-08,2022-01-21,9,Payment Only,Cheque,Net 15,PR-2022-6821,,RR-2022-8464,VAT,Goods,PHP,28746.27,18.5,287.46,28440.31,715,0,0,0.93,Decrease
CSCE,General Fund,2023-09-01,2023-09-22,2023-09-11,10,Purchase Order,Cash,Immediate,PR-2023-8532,PO-2023-8366,RR-2023-2858,VAT,Goods,USD,16838.99,0.0,168.39,16670.6,501,0,0,1.07,Freeze
ICELL,General Fund,2024-06-23,2024-07-08,2024-06-28,5,Payment Only,Cheque,Net 15,PR-2024-1648,,RR-2024-1016,VAT,Honorarium 5%,PHP,11722.58,31.36,586.13,11105.09,754,0,0,0.95,Increase
EVP or COO,General Fund,2022-02-06,2022-02-23,2022-02-22,16,Purchase Order,Cash,Net 15,PR-2022-7651,PO-2022-9656,RR-2022-5315,Non-VAT,Goods,PHP,11898.45,0.0,118.98,11779.47,368,0,0,1.01,Freeze
PO,Special Fund,2021-11-04,2021-12-15,2021-11-24,20,Purchase Order,Fund Transfer,Net 45,PR-2021-6426,PO-2021-9352,RR-2021-9469,Non-VAT,Services,USD,8931.33,58.67,178.63,8694.03,556,0,0,1.04,Decrease
CAS,General Fund,2025-12-20,2026-01-10,2025-12-29,9,Purchase Order,Cash,Net 30,PR-2025-4830,PO-2025-8154,RR-2025-3882,VAT,Goods,PHP,60907.9,0.0,609.08,60298.82,3693,2,1,1.04,Decrease
BDCCO,General Fund,2023-07-04,2023-08-02,2023-07-21,17,Purchase Order,Cheque,Net 30,PR-2023-8699,PO-2023-3629,,Non-VAT,Goods,PHP,29470.25,48.57,294.7,29126.98,719,0,0,0.97,Freeze
CORPCOMM,Special Fund,2022-04-10,2022-04-20,2022-04-16,6,Purchase Order,Fund Transfer,Net 15,PR-2022-6458,PO-2022-6315,RR-2022-4174,VAT,Goods,PHP,8700.96,95.79,87.01,8518.16,308,0,0,1.04,Increase
OP,Paid Fund,2025-12-14,2025-12-29,2025-12-19,5,Payment Only,Cash,Net 7,PR-2025-9490,,RR-2025-1770,Non-VAT,Goods,PHP,16347.1,0.0,163.47,16183.63,476,0,0,1.0,Freeze
