Date,Department,NetTotalAmount,Requests,PO_count,RR_count,StudentsEnrolled_mean,StudentsEnrolled_last,ProgramCount_max,AccreditationAudit_any,GovtFundingChange_mean,TuitionPolicy_mode,month,quarter,year,is_fy_end,EnrollMoM_pct,EnrollYoY_pct,lag_1,lag_3,lag_12,roll3_mean,roll3_std,roll12_mean,roll12_std
2021-01-01,1900 STORE,52060.56,4.0,4.0,4.0,766.0,789.0,0.0,0.0,1.065,Freeze,1,1,2021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,1900 STORE,32045.339999999997,2.0,2.0,2.0,736.0,755.0,0.0,0.0,0.9550000000000001,Freeze,2,1,2021,0,-4.309252217997461,0.0,52060.56,0.0,0.0,52060.56,0.0,52060.56,0.0
2021-03-01,1900 STORE,12220.44,1.0,1.0,1.0,746.0,746.0,0.0,0.0,1.03,Freeze,3,1,2021,0,-1.192052980132452,0.0,32045.339999999997,0.0,0.0,42052.95,14152.89778894061,42052.95,14152.89778894061
2021-04-01,1900 STORE,29324.96,1.0,1.0,1.0,811.0,811.0,0.0,0.0,1.0,Freeze,4,2,2021,0,8.713136729222516,0.0,12220.44,52060.56,0.0,32108.78,19920.13576456747,32108.78,19920.13576456747
2021-05-01,1900 STORE,73298.25,6.0,6.0,6.0,788.3333333333334,806.0,0.0,0.0,0.9900000000000001,Increase,5,2,2021,0,-0.6165228113440224,0.0,29324.96,32045.339999999997,0.0,24530.246666666662,10747.028517880339,31412.824999999997,16324.172854000903
2021-06-01,1900 STORE,60628.48,4.0,4.0,4.0,778.0,765.0,0.0,0.0,1.025,Freeze,6,2,2021,0,-5.0868486352357305,0.0,73298.25,12220.44,0.0,38281.21666666667,31508.500737236503,39789.909999999996,23467.78067929731
2021-07-01,1900 STORE,16316.39,2.0,2.0,2.0,763.5,799.0,0.0,0.0,1.0550000000000002,Decrease,7,3,2021,0,4.444444444444451,0.0,60628.48,29324.96,0.0,54417.23,22635.08953545137,43263.005,22648.702331114473
2021-08-01,1900 STORE,28473.86,2.0,2.0,2.0,760.5,782.0,0.0,0.0,1.085,Freeze,8,3,2021,0,-2.127659574468088,0.0,16316.39,73298.25,0.0,50081.04,29919.382683807165,39413.48857142857,23047.802531689387
2021-09-01,1900 STORE,31561.96,3.0,3.0,3.0,737.0,715.0,0.0,0.0,0.94,Freeze,9,3,2021,0,-8.56777493606138,0.0,28473.86,60628.48,0.0,35139.57666666667,22895.723706671364,38046.034999999996,21685.819093721133
2021-10-01,1900 STORE,26697.4,2.0,2.0,2.0,769.0,799.0,0.0,0.0,1.08,Freeze,10,4,2021,0,11.748251748251759,0.0,31561.96,16316.39,0.0,25450.736666666664,8059.857763796632,37325.58222222222,20400.04597764352
2021-11-01,1900 STORE,19935.190000000002,2.0,2.0,2.0,781.0,798.0,0.0,0.0,0.9650000000000001,Freeze,11,4,2021,0,-0.12515644555695093,0.0,26697.4,28473.86,0.0,28911.073333333334,2461.5752319465882,36262.764,19524.79175798366
2021-12-01,1900 STORE,20021.97,2.0,2.0,2.0,759.0,733.0,0.0,0.0,0.9550000000000001,Freeze,12,4,2021,1,-8.1453634085213,0.0,19935.190000000002,31561.96,0.0,26064.850000000002,5839.138188559978,34778.439090909094,19165.885543501223
2022-01-01,1900 STORE,31050.35,3.0,3.0,3.0,795.3333333333334,798.0,0.0,0.0,1.0266666666666666,Freeze,1,1,2022,0,8.86766712141882,1.1406844106463865,20021.97,26697.4,52060.56,22218.186666666665,3879.3551985133768,33548.73333333333,18763.88928402412
2022-02-01,1900 STORE,60420.39,3.0,3.0,3.0,802.3333333333334,796.0,0.0,0.0,1.0,Freeze,2,1,2022,0,-0.25062656641604564,5.43046357615895,31050.35,19935.190000000002,32045.339999999997,23669.170000000002,6392.436650949263,31797.882499999996,17836.855105882787
2022-03-01,1900 STORE,14626.73,1.0,1.0,1.0,824.0,824.0,0.0,0.0,1.04,Freeze,3,1,2022,0,3.5175879396984966,10.45576407506703,60420.39,20021.97,12220.44,37164.236666666664,20881.637681315446,34162.47,19660.247877338217
2022-04-01,1900 STORE,61936.81,4.0,4.0,4.0,774.75,765.0,0.0,0.0,1.0050000000000001,Freeze,4,2,2022,0,-7.160194174757284,-5.67200986436498,14626.73,31050.35,29324.96,35365.823333333334,23199.83419373796,34362.99416666667,19426.993287485075
2022-05-01,1900 STORE,9655.18,1.0,1.0,1.0,799.0,799.0,0.0,0.0,0.97,Decrease,5,2,2022,0,4.444444444444451,-0.8684863523573227,61936.81,60420.39,73298.25,45661.31,26887.427345069664,37080.64833333334,20884.51917182757
2022-06-01,1900 STORE,38910.21,4.0,4.0,4.0,761.25,752.0,0.0,0.0,1.0175,Freeze,6,2,2022,0,-5.882352941176472,-1.6993464052287632,9655.18,14626.73,60628.48,28739.573333333334,28856.913713660248,31777.05916666667,18831.065961366487
2022-07-01,1900 STORE,50338.159999999996,4.0,4.0,4.0,769.0,774.0,0.0,0.0,1.02,Freeze,7,3,2022,0,2.92553191489362,-3.1289111389236512,38910.21,61936.81,16316.39,36834.066666666666,26202.57596534419,29967.203333333335,16732.847164985145
2022-08-01,1900 STORE,69990.26999999999,4.0,4.0,4.0,791.5,796.0,0.0,0.0,0.9400000000000001,Freeze,8,3,2022,0,2.84237726098191,1.7902813299232712,50338.159999999996,9655.18,28473.86,32967.85,20982.37229669943,32802.35083333334,17088.125466126497
2022-09-01,1900 STORE,17330.25,2.0,2.0,2.0,781.5,797.0,0.0,0.0,1.0,Decrease,9,3,2022,0,0.12562814070351536,11.468531468531463,69990.26999999999,38910.21,31561.96,53079.54666666666,15720.335016882858,36262.051666666666,20073.989258343896
2022-10-01,1900 STORE,38085.17,3.0,3.0,3.0,744.0,731.0,0.0,0.0,0.9666666666666667,Freeze,10,4,2022,0,-8.281053952321205,-8.510638297872342,17330.25,50338.159999999996,26697.4,45886.22666666666,26610.791220920753,35076.07583333333,20784.739333395308
2022-12-01,1900 STORE,44812.229999999996,4.0,4.0,4.0,778.25,807.0,0.0,0.0,1.0025,Freeze,12,4,2022,1,10.396716826265395,1.1278195488721776,38085.17,69990.26999999999,19935.190000000002,41801.89666666666,26526.02438052361,36025.056666666664,20626.780791989077
